normalized_token,classification,count,variant_examples,sample_contexts
Россия,country,2300,России (1703); Россия (326); Россию (198); Россией (73),"читал, что обновленцы могли бы привести Россию к настоящему христианству – без шовиниз | онтёры» — составляет всего 8% населения России. Ещё три группы относительно активных с | т представителя высшего среднего класса России. Он мал (5% населения), но по российски"
Москва,unknown,730,Москве (347); Москвы (195); Москва (92); Москву (73); Москвой (22),"ПСС, через несколько дней он переехал в Москву. Финальный этап его восхождения на верш | Оформление Обводного канала в Москве к Первомаю на тему ""Капитализм в тисках | щего ФСБ), начальника Управления ФСК по Москве и Московской области Евгения Савостьяно"
России,title,630,России (630),"1863. ""Проект: о введении единомыслия в России"") | -то в сегодняшней безжалостной и подлой России - это обещание лучшего будущего для все | гих видных карателей, получивших «Героя России» за расстрел российских граждан. http:/"
США,country,582,США (578); Соединенные (2); Штаты (2),"елия из джинсовой ткани. Вице-президент США Уоллес в мае 1944 года прилетел в СССР. | американские рабочие!"" Вице-президенту США также запомнилась теплица, где зеки выр | оббировании участия крупных компаний из США в советской индустриализации. Ли добилс"
СССР,country,544,СССР (544),"На днях прочитал, когда официально в СССР появились изделия из джинсовой ткани. В | т США Уоллес в мае 1944 года прилетел в СССР. Первый регион, который он проинспектир | а консультирование  по индустриализации СССР, но это уже отдельная тема)  http://tto"
Европа,unknown,509,Европе (199); Европы (162); Европу (66); Европа (50); Европой (32),"бил, и считал именно её причиной войн в Европе и всемирной несправедливости). Баллод п | обратное. Среди 26 исследованных стран Европы Россия стала первой в рейтинге, граждан | ия, Скандинавский полуостров, Восточная Европа и в целом Северная Евразия на несколько"
D,unknown,496,D0 (369); D1 (127),/ttolk.ru/2015/12/17/%C2%AB%D1%82%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE | .ru/2015/12/17/%C2%AB%D1%82%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE%D1%81 | 15/12/17/%C2%AB%D1%82%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE%D1%81%D0%B2
Китай,country,325,Китай (135); Китая (128); Китае (62),"редителями"". Только в одном 1958 году в Китае было уничтожено 2 млрд. воробьёв | рбатов пишет, что уже в середине 1960-х Китай стал восприниматься советским руководст | подчинение другой стороны. В 1950-60-е Китай претендовал на лидерство в левой идеоло"
Украина,country,308,Украины (111); Украине (99); Украина (52); Украину (46),"ят всё на произвол судьбы. Положение на Украине далеко не радостное. Украинские войска, | олог Владимир Каганский сделал прогноз: Украина неизбежно будет трансформироваться. Эта | . Распад России будет означать и распад Украины; целостность главных постсоветских стра"
Запад,unknown,267,Запад (108); Запада (62); Западе (50); Западом (28); Западу (19),"форматора, готового идти на сближение с Западом. Груз такой работы заставлял Путина вып | алился окончательно в 1940 году - когда Запад счёл эту идею неуместной. http://ttolk. | них живут короткие циклы: поражение от Запада и либеральные реформы сверху, озабоченн"
Германия,country,229,Германии (170); Германия (40); Германию (19),"емя находилась под управлением союзника Германии, Оттоманской империи, а с другой сторон | дметом интересов Англии, как противника Германии (Англию Баллод всю жизнь не любил, и сч | ть в Палестине прогерманский Израиль. У Германии была и вторая причина для создания Изра"
B,unknown,203,B8 (37); B5 (34); B0 (33); B2 (25); B4 (16),p://ttolk.ru/2015/12/17/%C2%AB%D1%82%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0 | %C2%AB%D1%82%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE%D1%81%D0%B2%D0%BE%D0 | %D1%82%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%8F-%D0%BE%D1%81%D0%B2%D0%BE%D0%B1%D0
Рф,unknown,198,РФ (198),"ыходными днями (этого нет даже сейчас в РФ) Рождество праздновалось вместе с катол | дайте, какую явку нарисуют на выборах в РФ, сколько золотых медалей получит сборна | регионы брали шефство над кораблями ВМФ РФ. Руководство страны тогда не просто раз"
Сталин,unknown,182,Сталина (92); Сталин (38); Сталине (20); Сталину (15); Сталиным (15),"го, убедив высшие круги Америки, что со Сталиным можно иметь дело, а СССР потенциально - | рина Айнзиндель-Петерсдорф пишет письмо Сталину с просьбой отпустить её сына из плена. | В течение всего 1942 года он напоминал Сталину, что большой помощи от США не будет, по"
Путин,unknown,182,Путина (105); Путин (40); Путину (21); Путиным (11); Путине (5),с Западом. Груз такой работы заставлял Путина выпивать в то время. Об этом рассказыва | ии второй по популярности политик после Путина. Вот интересный факт про его потомка. П | кий фильм о визите президента Владимира Путина в КНДР в 2000 году. Очень всё оптимисти
СССР,title,181,СССР (181),"победоносное строительство социализма в СССР"". (Журнал ""За пролетарское искусство"" № | идеи преобразования банковской системы СССР и превращения её в главный инструмент э | %) в год. Таким образом, реформирование СССР должно было занять минимум 10 лет""."
Англия,country,171,Англии (109); Англия (43); Англию (19),"в Палестине являлся предметом интересов Англии, как противника Германии (Англию Баллод | ересов Англии, как противника Германии (Англию Баллод всю жизнь не любил, и считал име | дливости). Баллод предполагал опередить Англию, и основать в Палестине прогерманский И"
США,title,152,США (152),"кву Уэллс прибыл вскоре после посещения США и встречи с Франклином Рузвельтом, кото | од на душу населения составлял: в САСШ (США) 720 рублей в год (в золотом довоенном | ный премьер будет воспринят как ""победа США"" и ""очередной удар по России"". Можно жд"
Россия,title,152,Россия (152),"илиберальные контрреформы под лозунгом «Россия - это не Европа», подгнивание и очередн | ""Немец: — Россия встречает нас с распростёртыми объятиям | пример, там описано как будет выглядеть Россия в 2040 году:  ""Десятилетия сокращения ч"
Америка,unknown,150,Америки (59); Америке (45); Америка (22); Америку (15); Америкой (8),"ения», появившееся в 1960-х в Латинской Америке. Примечательно, что писатель осмысливал | гда «теология освобождения» в Латинской Америке набирала силу.  http://ttolk.ru/2015/12 | Ли добился своего, убедив высшие круги Америки, что со Сталиным можно иметь дело, а СС"
Франция,country,150,Франции (98); Франция (30); Францию (22),"Кузьменко вместе с ним эмигрировала во Францию. В 1943 году переехала в Германию на ра | еловек, сокращается до 28 млн.  Будущие Франция, Англия, Германия, Скандинавский полуос | , но и переориентации России с Англии и Франции - на США. http://ttolk.ru/articles/poch"
Система,unknown,140,Системы (75); Система (34); Систему (15); Системе (13); Систем (1),"ли закупать VPN"". Полная деквалификация Системы. Система начинает разбиваться на класте | интернета писал, как Сеть перепашет всю Систему и социальные отношения. В своей работе | Семёнов, дл понимания устройства нашей Системы."
Первый,unknown,132,Первого (31); Первом (29); Первый (25); Первой (24); Первую (9),"о, левого Израиля. Поражение Германии в Первой мировой поставило крест на планах по со | Во время Первой мировой Львов был взят российской армие | з Кракова Роман Дыбоский был призван на Первую мировую в австрийскую армию уже в авгус"
Турция,unknown,127,Турции (68); Турция (30); Турцию (17); Турцией (12),"на этом корабле перевозили наркотики из Турции в Севастополь. С этого момента я потеря | од воду уйдут Краснодарский край, часть Турции и Болгария. Чтобы избежать наступления | за Карабах. Тогда не может не вмешаться Турция - главный союзник Азербайджана. И может"
Московский,unknown,118,Московской (69); Московская (14); Московскую (14); Московского (11); Московский (6),", начальника Управления ФСК по Москве и Московской области Евгения Савостьянова (он ещё бы | Очередь за святой водой в Московской духовной академии в Троице-Сергиевой ла | у учредили 11-й отдел – для обеспечения Московской олимпиады, после завершения которой его"
